"_id",author,helpful_num,rating,reply,review
"00386c8832383d3226b049da9d9b56a5A Google userMay 5, 20191064","A Google userMay 5, 2019",0,5,None," love this game very interactive, recommend it to everyone,come have fun,what are you waiting for you might even be with my clan."
"00386c8832383d3226b049da9d9b56a5A Google userMay 5, 20191160","A Google userMay 5, 2019",0,5,None," love this game very interactive, recommend it to everyone,come have fun,what are you waiting for you might even be with my clan."
"00386c8832383d3226b049da9d9b56a5A Google userMay 5, 20191161","A Google userMay 5, 2019",0,5,None," love this game very interactive, recommend it to everyone,come have fun,what are you waiting for you might even be with my clan."
"00509835a638e36a70eff0bd669e287eKaven SnyderApril 23, 2019332","Kaven SnyderApril 23, 2019",20,1,"PlaytikaApril 22, 2019Hi Kaven , we respect all opinions. 
We are ranked #1 for a reason and have been consistently in the top charts.  Our objective is to bring to you a superior experience in the Slots arena.

We have over 13.5 Million fans on our Facebook page - https://www.facebook.com/slotomania/ - we give away free perks and special benefits there, join!"," Corrupt app, no need to go into details just read every review below mine. Everyone is saying the same exact thing. Since this company simply chooses to ignore everyone. Maybe the FTC should have a chat with them. Listen, I get that they are a business and need to make money. But it's clear they pur...Full ReviewCorrupt app, no need to go into details just read every review below mine. Everyone is saying the same exact thing. Since this company simply chooses to ignore everyone. Maybe the FTC should have a chat with them. Listen, I get that they are a business and need to make money. But it's clear they purposely word certain things to be deceitful. They also claim you can win big in game prizes by spending real money but fail to produce an actual % chance to win. #stopscammingus  Update after reading Playtikas response. I headed over to their Facebook page as instructed. Here are the first fan reviews I read on their post today. Fan 1- thx...sorry Lucy...done for the day/night...could NOT get dash 1 done...played the Robin Hood game..which IS NOT even fun...but it paid crappola...have a great evening...Good Luck to my co-gamers...  Fan 2 - Been playing the Robin Hood game a LOT today. NOT ONE ACE all day or even in three days playing that ACE game. Thanks for nuttin.  Fan 3 - For the past 2 months I have been missing an ace to complete the forest and ace pack. I have completed the previous quest and even the latest quest to no avail."
"00509835a638e36a70eff0bd669e287eKaven SnyderApril 23, 2019430","Kaven SnyderApril 23, 2019",20,1,"PlaytikaApril 22, 2019Hi Kaven , we respect all opinions. 
We are ranked #1 for a reason and have been consistently in the top charts.  Our objective is to bring to you a superior experience in the Slots arena.

We have over 13.5 Million fans on our Facebook page - https://www.facebook.com/slotomania/ - we give away free perks and special benefits there, join!"," Corrupt app, no need to go into details just read every review below mine. Everyone is saying the same exact thing. Since this company simply chooses to ignore everyone. Maybe the FTC should have a chat with them. Listen, I get that they are a business and need to make money. But it's clear they pur...Full ReviewCorrupt app, no need to go into details just read every review below mine. Everyone is saying the same exact thing. Since this company simply chooses to ignore everyone. Maybe the FTC should have a chat with them. Listen, I get that they are a business and need to make money. But it's clear they purposely word certain things to be deceitful. They also claim you can win big in game prizes by spending real money but fail to produce an actual % chance to win. #stopscammingus  Update after reading Playtikas response. I headed over to their Facebook page as instructed. Here are the first fan reviews I read on their post today. Fan 1- thx...sorry Lucy...done for the day/night...could NOT get dash 1 done...played the Robin Hood game..which IS NOT even fun...but it paid crappola...have a great evening...Good Luck to my co-gamers...  Fan 2 - Been playing the Robin Hood game a LOT today. NOT ONE ACE all day or even in three days playing that ACE game. Thanks for nuttin.  Fan 3 - For the past 2 months I have been missing an ace to complete the forest and ace pack. I have completed the previous quest and even the latest quest to no avail."
"00509835a638e36a70eff0bd669e287eKaven SnyderApril 23, 2019434","Kaven SnyderApril 23, 2019",20,1,"PlaytikaApril 22, 2019Hi Kaven , we respect all opinions. 
We are ranked #1 for a reason and have been consistently in the top charts.  Our objective is to bring to you a superior experience in the Slots arena.

We have over 13.5 Million fans on our Facebook page - https://www.facebook.com/slotomania/ - we give away free perks and special benefits there, join!"," Corrupt app, no need to go into details just read every review below mine. Everyone is saying the same exact thing. Since this company simply chooses to ignore everyone. Maybe the FTC should have a chat with them. Listen, I get that they are a business and need to make money. But it's clear they pur...Full ReviewCorrupt app, no need to go into details just read every review below mine. Everyone is saying the same exact thing. Since this company simply chooses to ignore everyone. Maybe the FTC should have a chat with them. Listen, I get that they are a business and need to make money. But it's clear they purposely word certain things to be deceitful. They also claim you can win big in game prizes by spending real money but fail to produce an actual % chance to win. #stopscammingus  Update after reading Playtikas response. I headed over to their Facebook page as instructed. Here are the first fan reviews I read on their post today. Fan 1- thx...sorry Lucy...done for the day/night...could NOT get dash 1 done...played the Robin Hood game..which IS NOT even fun...but it paid crappola...have a great evening...Good Luck to my co-gamers...  Fan 2 - Been playing the Robin Hood game a LOT today. NOT ONE ACE all day or even in three days playing that ACE game. Thanks for nuttin.  Fan 3 - For the past 2 months I have been missing an ace to complete the forest and ace pack. I have completed the previous quest and even the latest quest to no avail."
"00509835a638e36a70eff0bd669e287eKaven SnyderApril 23, 2019469","Kaven SnyderApril 23, 2019",20,1,"PlaytikaApril 22, 2019Hi Kaven , we respect all opinions. 
We are ranked #1 for a reason and have been consistently in the top charts.  Our objective is to bring to you a superior experience in the Slots arena.

We have over 13.5 Million fans on our Facebook page - https://www.facebook.com/slotomania/ - we give away free perks and special benefits there, join!"," Corrupt app, no need to go into details just read every review below mine. Everyone is saying the same exact thing. Since this company simply chooses to ignore everyone. Maybe the FTC should have a chat with them. Listen, I get that they are a business and need to make money. But it's clear they pur...Full ReviewCorrupt app, no need to go into details just read every review below mine. Everyone is saying the same exact thing. Since this company simply chooses to ignore everyone. Maybe the FTC should have a chat with them. Listen, I get that they are a business and need to make money. But it's clear they purposely word certain things to be deceitful. They also claim you can win big in game prizes by spending real money but fail to produce an actual % chance to win. #stopscammingus  Update after reading Playtikas response. I headed over to their Facebook page as instructed. Here are the first fan reviews I read on their post today. Fan 1- thx...sorry Lucy...done for the day/night...could NOT get dash 1 done...played the Robin Hood game..which IS NOT even fun...but it paid crappola...have a great evening...Good Luck to my co-gamers...  Fan 2 - Been playing the Robin Hood game a LOT today. NOT ONE ACE all day or even in three days playing that ACE game. Thanks for nuttin.  Fan 3 - For the past 2 months I have been missing an ace to complete the forest and ace pack. I have completed the previous quest and even the latest quest to no avail."
"00509835a638e36a70eff0bd669e287eKaven SnyderApril 23, 2019481","Kaven SnyderApril 23, 2019",20,1,"PlaytikaApril 22, 2019Hi Kaven , we respect all opinions. 
We are ranked #1 for a reason and have been consistently in the top charts.  Our objective is to bring to you a superior experience in the Slots arena.

We have over 13.5 Million fans on our Facebook page - https://www.facebook.com/slotomania/ - we give away free perks and special benefits there, join!"," Corrupt app, no need to go into details just read every review below mine. Everyone is saying the same exact thing. Since this company simply chooses to ignore everyone. Maybe the FTC should have a chat with them. Listen, I get that they are a business and need to make money. But it's clear they pur...Full ReviewCorrupt app, no need to go into details just read every review below mine. Everyone is saying the same exact thing. Since this company simply chooses to ignore everyone. Maybe the FTC should have a chat with them. Listen, I get that they are a business and need to make money. But it's clear they purposely word certain things to be deceitful. They also claim you can win big in game prizes by spending real money but fail to produce an actual % chance to win. #stopscammingus  Update after reading Playtikas response. I headed over to their Facebook page as instructed. Here are the first fan reviews I read on their post today. Fan 1- thx...sorry Lucy...done for the day/night...could NOT get dash 1 done...played the Robin Hood game..which IS NOT even fun...but it paid crappola...have a great evening...Good Luck to my co-gamers...  Fan 2 - Been playing the Robin Hood game a LOT today. NOT ONE ACE all day or even in three days playing that ACE game. Thanks for nuttin.  Fan 3 - For the past 2 months I have been missing an ace to complete the forest and ace pack. I have completed the previous quest and even the latest quest to no avail."
"00afa0c4ba5840fbd337c546ee6ebd24John ReimersApril 1, 20191009","John ReimersApril 1, 2019",1,1,None," All the pop ups! fark me enough already! Every dam time I open the flipping app 40 billion pop ups I don't pay a second of attention to please get rid of them!"
"00afa0c4ba5840fbd337c546ee6ebd24John ReimersApril 1, 20191044","John ReimersApril 1, 2019",1,1,None," All the pop ups! fark me enough already! Every dam time I open the flipping app 40 billion pop ups I don't pay a second of attention to please get rid of them!"
"00afa0c4ba5840fbd337c546ee6ebd24John ReimersApril 1, 20191098","John ReimersApril 1, 2019",1,1,None," All the pop ups! fark me enough already! Every dam time I open the flipping app 40 billion pop ups I don't pay a second of attention to please get rid of them!"
"00afa0c4ba5840fbd337c546ee6ebd24John ReimersApril 1, 20191101","John ReimersApril 1, 2019",1,1,None," All the pop ups! fark me enough already! Every dam time I open the flipping app 40 billion pop ups I don't pay a second of attention to please get rid of them!"
"00afa0c4ba5840fbd337c546ee6ebd24John ReimersApril 1, 2019957","John ReimersApril 1, 2019",1,1,None," All the pop ups! fark me enough already! Every dam time I open the flipping app 40 billion pop ups I don't pay a second of attention to please get rid of them!"
